SCHOOL CODE,COUNTY,PUBLIC/  PRIVATE,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,UTD_NUM,UTD_PCT,PME_NUM,PME_PCT,PBE_NUM,PBE_PCT,REPORTED
0112789,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ELMHURST COMMUNITY PREP,125,124,99,0,0,1,1,Y
6057020,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,FRICK MIDDLE,83,83,100,0,0,0,0,Y
0115618,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,GREENLEAF ELEMENTARY,50,50,100,0,0,0,0,Y
6001911,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,HILLCREST ELEMENTARY,26,26,100,0,0,0,0,Y
0121376,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,HOME AND HOSPITAL PROGRAM, ,,,,,,,N
0115014,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,KIPP BRIDGE CHARTER, ,,,,,,,N
0130575,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LIFE ACADEMY,51,51,100,0,0,0,0,Y
0130633,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LIGHTHOUSE COMMUNITY CHARTER,69,67,97,0,0,2,3,Y
6066450,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MADISON MIDDLE,128,128,100,0,0,0,0,Y
6118640,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MELROSE LEADERSHIP ACADEMY,31,31,100,0,0,0,0,Y
6057079,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MONTERA MIDDLE,326,320,98,1,0,5,2,Y
6117972,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,NORTH OAKLAND COMMUNITY CHARTER,28,22,79,0,0,6,21,Y
6111660,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,OAKLAND CHARTER ACADEMY,150,150,100,0,0,0,0,Y
0130617,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,"OAKLAND MILITARY INSTITUTE, COLLEGE PREPARATORY ACADEMY",110,108,98,1,1,1,1,Y
3030772,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,OAKLAND SCHOOL FOR THE ARTS,96,92,96,0,0,4,4,Y
6117394,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,REEMS (ERNESTINE C.) ACADEMY OF TECHNOLOGY AND ART,29,27,93,0,0,2,7,Y
6057087,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ROOSEVELT MIDDLE,171,169,99,0,0,2,1,Y
0112805,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ROOTS INTERNATIONAL ACADEMY,51,51,100,0,0,0,0,Y
